Note	Frequency (125489 in total)
retroactive	5
review	5
riding	5
rk	5
s3	5
s4	5
safety	5
says	5
sees	5
spooks	5
super	5
t12	5
t14	5
t30	5
t38	5
t6	5
took	5
udd	5
uhhhhhh	5
useless	5
using	5
v	5
waiting	5
wants	5
where	5
who	5
won't	5
wtaf	5
y24	5
yet	5
zam	5
!bm	4
!d	4
!k3	4
!n3	4
!r2	4
!wr	4
105	4
2/3b	4
2/3r	4
2gr	4
2l	4
2s	4
3/4k	4
3]	4
3ig	4
3yb	4
4ib	4
5gb	4
5s	4
??????	4
[!br]	4
[!k]	4
[!n]	4
[!ng]	4
[!rg]	4
[!yb]	4
[5	4
[a3]	4
[a5]	4
[c2]	4
[l3]	4
[m34]	4
[o]	4
[r	4
[r34]	4
[y10]	4
ace	4
ahead	4
ambitious	4
asym	4
available	4
b234	4
b24	4
baton	4
boba	4
br	4
bye	4
c34	4
cause	4
chance	4
channel	4
choose	4
clueing	4
cm'd?	4
come	4
considered	4
curious	4
doc	4
dupes	4
duping	4
ed	4
elimination	4
end	4
expect	4
find	4
g]	4
gm2	4
go	4
haha	4
helana's	4
hmmmmmmmm	4
ig3	4
ignore	4
impossible	4
indeed	4
indego's	4
jack	4
job	4
jump	4
k234	4
knows	4
l34	4
layer	4
load	4
lulw	4
making	4
mark	4
mb	4
means	4
mel's	4
n23	4
n35	4
nothing	4
oldest	4
opening	4
opportunity	4
pace	4
pd	4
perfect	4
prophetic	4
rcf	4
reverse	4
rw	4
saving	4
seph	4
seriously	4
sfi	4
somehow	4
soon	4
spookz	4
stacked	4
starts	4
stop	4
t16	4
t17	4
t20	4
t26	4
t29	4
t33	4
t37	4
t39	4
t46:	4
t48:	4
t60:	4
there	4
they	4
transfer	4
triple	4
trusted	4
until	4
want	4
wanted	4
way	4
wg	4
worth	4
writing	4
wump	4
wut	4
y10	4
yeah	4
ygb	4
yi	4
}	4
!135	3
!145	3
!235	3
!35	3
!3b	3
!45	3
!a3	3
!b1	3
!ba	3
!bgy	3
!bt	3
!bw	3
!byg	3
!cit	3
!go	3
!gpr	3
!i]	3
!ip	3
!ir	3
!iy	3
!o3	3
!pl	3
!pt	3
!rbg	3
!ri	3
!rt	3
!ryb	3
!s	3
!tp	3
!tvr	3
!w2	3
!y4?	3
!yrg	3
-_-	3
2/3y	3
2bg	3
2c	3
2oi	3
2pp	3
3gb	3
3l	3
3s	3
4c	3
4gb	3
4rb	3
5pp	3
5yp	3
:	3
:((((	3
:)	3
:o	3
=>?	3
[!1	3
[!4]	3
[!b	3
[!b4]	3
[!i]	3
[!r4]	3
[!rgb]	3
[!y4]	3
[a4]	3
[b2][f]	3
[b45]	3
[c1]	3
[cm][!5]	3
[d1]	3
[d4]	3
[e	3
[g34]	3
[k1]	3
[k3]	3
[l4]	3
[o5]	3
[r3	3
[r35]	3
[rb]	3
[trash]	3
[u	3
[u1]	3
[u2]	3
[w4]	3
[y23]	3
[yb]	3
a34	3
adios	3
agree	3
almost	3
anxiety	3
ap	3
aqua	3
assuming	3
avoid	3
b5]	3
bdr	3
begins	3
believes	3
believing	3
bigg	3
bonja	3
browns	3
bs	3
c23	3
cms	3
consider	3
contextually	3
cool	3
d234	3
damn	3
decision	3
deck	3
ded	3
delay	3
depends	3
die	3
distribution	3
doesn't	3
except	3
exist	3
extra	3
far	3
fml	3
freaking	3
g1>	3
g234	3
g35	3
g3=>	3
gave	3
getting	3
gi3	3
gm3	3
gotta	3
griff	3
history	3
hmmmmmmmmmmmmmmm	3
horrible	3
ic	3
id	3
impending	3
io	3
joel	3
k23	3
keeps	3
kind	3
ky	3
last	3
late	3
lc	3
lies	3
lime	3
lo	3
lolol	3
long	3
lost	3
low	3
m2345	3
man	3
massive	3
mean	3
mg	3
misplay	3
mr	3
multi	3
n125	3
n45	3
negative	3
null	3
occam	3
odd	3
ohhh	3
optimal	3
other	3
own	3
p24	3
part	3
pdb	3
pm	3
prevent	3
principle	3
promising	3
prompts	3
ptd:	3
r1>	3
r25	3
r35	3
rare	3
rather	3
razor	3
rb2	3
rbk	3
rby	3
reds	3
rgp	3
ridiculous	3
risking	3
risky	3
rm23	3
ro5	3
s2	3
sadness	3
same	3
scared	3
should've	3
shouted	3
sn	3
somebody	3
someone	3
something	3
spooked	3
squi's	3
steal	3
stomped	3
stuff	3
suit	3
t32	3
t34	3
t35	3
t36	3
t40	3
t43	3
t45	3
t47	3
t50:	3
t51	3
t51:	3
t9	3
t^t	3
taken	3
teal	3
thank	3
them	3
tp	3
trolling	3
trusting	3
try	3
turns	3
u45	3
ufff	3
ufrtf	3
undefined	3
v3	3
variant	3
visible	3
vtk	3
waited	3
wanna	3
while	3
worked	3
working	3
wr	3
ym3	3
!!!!	2
!152	2
!24	2
!2g	2
!3g	2
!3p	2
!3r	2
!3y	2
!4b	2
!4g	2
!4r	2
!a5	2
!ab	2
!ak	2
!as	2
!bi	2
!bo	2
!crit	2
!ct	2
!gby	2
!gi	2
!gpb	2
!gt	2
!gw	2
!gwb	2
!iby	2
!igb	2
!igy	2
!io	2
!ipy	2
!iyb	2
!k]	2
!lc	2
!loi	2
!m1	2
!mb	2
!mg	2
!n4	2
!o1	2
!o4	2
!og	2
!om	2
!p4	2
!playable	2
!prg	2
!r1	2
!rgby	2
!rgw	2
!ryi	2
!ti	2
!u2	2
!wyr	2
!y1	2
!ybg	2
!ybr	2
!ygb	2
!ypg	2
!ypr	2
!yrb	2
!yw	2
\"scream\"	2
#1	2
#2	2
-_____-	2
....	2
0y	2
123	2
145	2
1n	2
1oy	2
1r/1g	2
1st	2
2/3/4k	2
2/3g	2
22	2
2b/2y	2
2n	2
2nd	2
2r/m	2
2rg	2
2ry	2
3/4g	2
3/4r	2
3bg	2
3ib	2
3iy	2
3om	2
3ri	2
3yi	2
44	2
4charm	2
4gm	2
4go	2
4gw	2
4mg	2
4n	2
4yi	2
4yr	2
50	2
5gi	2
5rb	2
5rg	2
5stall	2
5t	2
7	2
:(((((	2
:///	2
:?	2
<3	2
???????	2
????????	2
???????????	2
?_?	2
[!15]	2
[!1][!2]	2
[!g	2
[!ir]	2
[!lt]	2
[!n	2
[!pg]	2
[!r	2
[!rb]	2
[!t]	2
[!w]	2
[!y	2
[!y3]	2
[!y][!i]	2
[!yi]	2
[!yr]	2
[1	2
[234]	2
[25]	2
[345]	2
[45	2
[4][r	2
[5cm][4]	2
[a	2
[b3	2
[clued]	2
[cm][!2]	2
[cm][!ol]	2
[cm]kinda	2
[f][b3]	2
[f][y3]	2
[g23]	2
[gy]	2
[i05]	2
[i2][f]	2
[i3	2
[i34]	2
[i4	2
[m234]	2
[m25]	2
[n24]	2
[p0]	2
[p34]	2
[r2	2
[rgp]	2
[ry]	2
[t4]	2
[tocm]	2
[u345]	2
[u5]	2
[u]	2
[w5]	2
[w]	2
[y2	2
[y45]	2
[yb3]	2
[yp5]	2
a]	2
ab4	2
abi4	2
aby	2
according	2
agb	2
ages	2
agreed	2
ahh	2
ahhhhh	2
ao	2
arv	2
ary	2
atm	2
attempt	2
aybg	2
b0	2
b15	2
b5=>	2
basically	2
becomes	2
betting	2
beyond	2
bga	2
bgi	2
bi4	2
bim	2
bit	2
bj	2
blatant	2
blocker	2
bm3	2
bold	2
bombing	2
booom	2
brain	2
brainzz	2
bro	2
care	2
carunty's	2
cathy	2
caused	2
causes	2
certainly	2
chicken	2
clearly	2
closer	2
cocoa	2
coming	2
couldn't	2
count	2
counts	2
crazy	2
d34	2
dark	2
darn	2
dawn	2
dayum	2
dead	2
dear	2
deja	2
deleted	2
demonstrated	2
deny	2
desynced	2
dg	2
dicey	2
didn't	2
dilemma	2
disallowed	2
disregard	2
disregarded	2
dmoney	2
dobi's	2
doubtful	2
down	2
e/w	2
easy	2
edge	2
eli	2
else	2
empathy	2
epc	2
eternity	2
everything	2
existence	2
expected	2
explicitly	2
explosive	2
extremely	2
ey3	2
f1	2
f2	2
fault	2
feels	2
fixes	2
fixing	2
force	2
forced	2
g10	2
g12	2
g2=>	2
ga	2
gasps	2
gb5	2
gbi	2
gbm	2
gds	2
generating	2
genius	2
gets	2
globally	2
going	2
greedy	2
gtp	2
guide	2
help	2
hesitating	2
him	2
hmmmmmmm	2
hmmmmmmmmm	2
hmmmmmmmmmmm	2
hmmmmmmmmmmmm	2
i05	2
i245	2
i35	2
idc	2
ik	2
il	2
imb	2
intentional	2
intentionally	2
ip	2
ir4	2
jit	2
kc	2
keep	2
kevin	2
kidding	2
kilda	2
kills	2
kim	2
knew	2
kyle's	2
lanvin's	2
later	2
least	2
level	2
lgtm	2
lock	2
logic	2
lollll	2
lolllll	2
lololol	2
looking	2
lower	2
lsp	2
m123	2
m15	2
m234]	2
m245	2
m2]	2
m345	2
m4]	2
mango	2
matching	2
max	2
mb4	2
melwen's	2
messed	2
mispromised	2
mistaken	2
mistakes	2
mofo	2
mt	2
multiple	2
n245	2
n345	2
nahhhh	2
newduke	2
noooooo	2
number	2
o25	2
o345	2
o5]	2
oa	2
ob23	2
oblivious	2
oc	2
odds	2
ohh	2
oi	2
om	2
om3	2
omega	2
omfg	2
opener	2
ot	2
our	2
p0	2
p105	2
p234	2
p2=>	2
p35	2
passback	2
people	2
permission	2
pfp	2
pg	2
player	2
playstyle	2
pm2	2
point	2
positions	2
pr	2
precedence	2
prefered	2
premature	2
pressure	2
pretend	2
priority	2
probable	2
pt	2
purge	2
purples	2
question	2
r0	2
r234	2
r2=>	2
r3=>	2
r3]	2
rainbow	2
realised	2
realises	2
reasonable	2
reclued	2
remember	2
resolved	2
respecting	2
respects	2
rest	2
result	2
ricardo	2
rm3	2
rmb	2
rob	2
round	2
royally	2
rpb	2
rt	2
ryg	2
rz	2
rz's	2
sadgeee	2
safest	2
said	2
sankala	2
saveable	2
saves	2
saw	2
say	2
science	2
setting	2
setup	2
shit	2
si	2
slightly	2
slowest	2
sooo	2
soooo	2
sort	2
speed	2
speedup	2
stall/pull	2
stalls	2
step	2
stopped	2
sturm	2
sucks	2
sucu	2
sucubis	2
suits	2
superior	2
surprise	2
syrah	2
t10	2
t18	2
t31	2
table	2
that's	2
these	2
thx	2
till	2
times	2
timing	2
tm	2
touched	2
touching	2
treated	2
tricky	2
trigger	2
triggers	2
trolol	2
turned	2
uncm	2
under	2
unfocusable	2
used	2
utc	2
utp	2
v2	2
violation	2
vs	2
vu	2
w1]	2
w23	2
wgy	2
whole	2
whyyy	2
wins	2
without	2
worst	2
wrote	2
wuttt	2
wuttttt	2
y0	2
y12	2
y1>	2
y234	2
y50	2
ybk	2
ypg	2
yrb	2
yrp	2
yuck	2
!!!	1
!02	1
!10	1
!1235	1
!125]	1
!12]	1
!134	1
!1rygi	1
!1t	1
!2]	1
!2b	1
!2i	1
!2m	1
!2p	1
!2pol	1
!2r	1
!2w	1
!3?	1
!3m	1
!42	1
!4m	1
!4y	1
!5m	1
!5w	1
!abr	1
!ai	1
!ak]	1
!ar	1
!b23	1
!b3?	1
!b4]	1
!bay	1
!bd	1
!bgp	1
!bgr	1
!bipgr	1
!bipyg	1
!bir	1
!bk	1
!bkg	1
!bl	1
!bn	1
!bog	1
!bogi	1
!bom	1
!boy	1
!boygr	1
!bpg	1
!bpt	1
!bpy	1
!brg]	1
!brm	1
!brp	1
!brw	1
!bry	1
!btgr	1
!btyp	1
!bwg	1
!byp	1
!byr	1
!c3	1
!ci	1
!ci]	1
!cil	1
!cimt	1
!citm	1
!co	1
!cot	1
!crit?	1
!d2	1
!diy	1
!dyi	1
!f	1
!g1	1
!gbi	1
!gbm	1
!gbr	1
!gbrym	1
!gbw	1
!gib	1
!gk	1
!go]	1
!gob	1
!good?	1
!gp]	1
!gpbr	1
!gpt	1
!gpy	1
!grb	1
!grp	1
!gtm	1
!gwp	1
!gya	1
!gyb	1
!gyba	1
!gybr	1
!gym	1
!gyp	1
!gyr	1
!i14	1
!i24	1
!ial	1
!iayb	1
!ib]	1
!ibky	1
!ibr	1
!ibw	1
!ic	1
!ic3	1
!ical	1
!ig]	1
!ikybr	1
!im	1
!imgy	1
!ioc	1
!iorb	1
!ipg	1
!irg	1
!iyr	1
!k2	1
!kgiy	1
!ky	1
!kyrg	1
!l3	1
!lct	1
!ldot	1
!licto	1
!lidc	1
!lo	1
!loaded	1
!lti	1
!lto	1
!m12	1
!m25	1
!mbgy	1
!mgy	1
!mi	1
!mig	1
!mob	1
