Note	Frequency (48987 in total)
[23]	1
[b2r3]	1
[b5]	1
[clued]	1
[cm]t3?	1
[f]...	1
[g34]	1
[g5]	1
[i2]	1
[i3y4]	1
[i5]	1
[isb4]	1
[l2]	1
[n1]	1
[n2]	1
[o2]	1
[o4]	1
[o5]	1
[r5]	1
[r5y5b45u34]	1
[rym4]	1
[t5]	1
[u25]	1
[u45]	1
[x]	1
[y2]	1
\\	1
\\o	1
^^;;;;;	1
^^;;;;;;;;	1
^^;;;;;;;;;;;;;	1
^^[cm]	1
^^g	1
a2[cm]	1
a2e	1
able	1
abs	1
ace	1
ackackack	1
adorable	1
aga	1
again[cm]	1
ago	1
agreed	1
ahhhhhhhhhhhhh	1
ahhhhhhhhhhhhhhhh	1
ahhhhhhhhhhhhhhhhh	1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	1
akg	1
allowable	1
allowing	1
allows	1
almost	1
although	1
ambig	1
andor	1
annoying	1
anxiety/discard	1
anymore	1
anyway	1
apparently	1
are^^	1
arg	1
around	1
ary	1
asked	1
assymetric	1
awake	1
awe	1
awesome	1
b--->	1
b23	1
b234	1
b25	1
b2;;	1
b2?[cm]	1
b2[cm]	1
b2e---	1
b2e---------------------	1
b2r2	1
b2r2g4	1
b2r3	1
b3!y	1
b3e---	1
b3e-----	1
b3m23	1
b43	1
b45e	1
b4[f]	1
b4e-	1
b4e---?	1
b>	1
b?^^	1
b?g	1
bar	1
based	1
bcm	1
bdr	1
beast	1
beat	1
begreen	1
bet	1
better;;	1
betting	1
beyond	1
bgi	1
bie	1
biu2	1
bizarre	1
bk	1
blabla	1
black	1
blast	1
blaze;;	1
blessed	1
blocker	1
blocking3[cm]	1
bluffed	1
bluffs	1
blunder	1
bm23	1
bm3	1
bm34	1
bm5	1
bn	1
bni	1
bnk	1
bob	1
bomb^^	1
bombs^^	1
booooo	1
boss	1
bpa	1
bpt	1
brave	1
break	1
breathe	1
briefly	1
brill	1
btccme	1
bubble	1
bullied	1
bummer	1
bunch	1
by5----	1
bygo2	1
byik	1
byp	1
c4e	1
c5	1
calling	1
casually	1
cause	1
certain	1
certainly	1
character	1
charming	1
cheating	1
checked	1
cheeky	1
chicken	1
child	1
choice	1
chopbomb	1
cleanly	1
clear	1
clue?^^;;	1
cluegen	1
cm;;	1
cm;;;;;;;;;;;;;;;;;;;;;;	1
come	1
commit	1
committing	1
completely	1
confirmed	1
conservatively	1
controversial	1
convinced	1
cookie	1
copy	1
coulb	1
coulda	1
couldn't	1
couldnt	1
crappppp	1
crazy	1
creative	1
criees	1
crit	1
cruel	1
cry[f]	1
cryyy	1
cryyyy	1
cryyyyyyyy	1
cs	1
culpa	1
cw	1
dam	1
dani	1
dark	1
db;;	1
dddddddddd	1
decline	1
delete	1
deleted	1
despite	1
desynched^^	1
desynched^^;;	1
digging	1
disagrees	1
discard^^;;;	1
discardinnnng	1
discards^^;;;	1
discharging	1
distracted	1
divine	1
dlol	1
don	1
donot	1
dot	1
dpe	1
dry	1
dt	1
duck	1
dumdum	1
dumdumdum	1
dummy^^	1
dumptruck	1
dumptrucks	1
e---------	1
e>>	1
e>>>	1
ease	1
easiest	1
easy	1
eats	1
eeep	1
eep	1
efforts	1
eh	1
ejected	1
ejection	1
elim	1
en	1
end	1
ens	1
entertain	1
envy	1
es	1
esp	1
every	1
expect	1
expected	1
expedite	1
f4	1
fails	1
faithful	1
fcc	1
feels/felt	1
few	1
ff	1
fi;;;	1
figure	1
fill	1
find	1
finesses	1
fire:	1
five	1
fixing	1
flag	1
flexing	1
flood	1
flooding	1
focus	1
focusable	1
folks	1
followed	1
followup	1
force	1
foresight	1
found	1
fpe	1
fpp	1
friday13	1
friend	1
frosty	1
furious	1
fwd	1
g-or	1
g12	1
g1b1	1
g1e?^^;;	1
g25	1
g2?[cm]	1
g2[cm]	1
g2^^	1
g2i5	1
g3/???????	1
g34b3p4	1
g35	1
g3;;;;;;;	1
g3e-	1
g3e---	1
g3m23u34	1
g3m4	1
g4?[cm]	1
g4[cm]	1
g4m3	1
g5e-	1
g5e--	1
g5e---	1
g5e----	1
g;;;	1
g?;;;;;;;;;;;;;;;;;;	1
gahhh	1
game^^	1
games	1
gauntlet	1
gave	1
gb4	1
gbi	1
gbi4	1
gbkw	1
gbpm	1
gen	1
generating	1
genuinely	1
gets	1
gg	1
gives	1
gk	1
gka	1
gl	1
go5	1
godread	1
good^^	1
gosh	1
gpt	1
gra	1
grb	1
green;;;;?	1
gri	1
gt4	1
gu1	1
guess@@	1
guessed	1
gy1	1
gy5e	1
gyb	1
ha	1
had	1
hahaha;;	1
hallelujah	1
hanab	1
hanab[f]	1
hanabigod	1
happen	1
hate	1
he'll	1
heart	1
hehe	1
helana	1
hesitate	1
high	1
hiis	1
hm;;	1
hm;;;	1
hm;;;;	1
hm[cm]	1
hm^^;;	1
hmmmmmm	1
hmnot	1
ho	1
hoho	1
home	1
honestly	1
hoodie's	1
hopefully[cm]	1
hoping	1
hrm	1
huh^^	1
i/	1
i/5	1
i1[f]	1
i2/4	1
i234	1
i23e	1
i2y3	1
i345	1
i35	1
i3w-b4e-	1
i3y4	1
i45	1
i4[cm]	1
i4^^	1
i5'???	1
i5e[cm]	1
idea	1
idontlikethis	1
idr	1
idt	1
idts	1
ie	1
igb	1
ige	1
igm	1
ignored	1
ii3	1
iib4	1
iki	1
imm	1
imp	1
impossible	1
impostor	1
imr	1
in5[cm]	1
incoming	1
incredible	1
indicate	1
initi	1
int	1
intensifies	1
interesting	1
ipr	1
ir	1
isb4	1
it'd	1
it^^	1
ive	1
iy4e	1
iye	1
iye5	1
jk	1
joel	1
join	1
k1	1
k2----	1
k23	1
k2e---?	1
k3---	1
k345	1
kb	1
kgr	1
kicked	1
kind	1
kingmaker	1
kinka	1
knows	1
kooo	1
kooolant	1
kr	1
kt---------------	1
kt;;	1
kt[cm]	1
kt[f]	1
kt]	1
kte	1
kw	1
ky	1
kyle	1
l1	1
l10	1
l14	1
l17	1
l3s	1
l6	1
lady's	1
lame	1
last	1
late	1
layerfin	1
layrev	1
lc	1
lead	1
learn	1
leaves	1
leftmost	1
legend	1
lesstry	1
level6	1
lhs	1
liars	1
liberties	1
lied	1
lied;;;;;	1
likely^^	1
lim	1
lo	1
lock	1
