Note	Frequency (193362 in total)
confident	10
counts	10
d2	10
duped	10
entertain	10
fake	10
feeling	10
fi	10
gr3	10
i3]	10
ignore	10
intentional	10
jeff	10
mel	10
muddy	10
next	10
noooo	10
occupied	10
pestilent	10
pg	10
phantom	10
prios	10
rb3	10
rbp	10
rg2	10
seen	10
signal	10
skip	10
suboptimal	10
t54	10
u345	10
understood	10
we've	10
welp	10
ygp	10
yi2	10
ym2	10
!b5	9
!m1	9
!o	9
!o1	9
!u2	9
)	9
-_-	9
0	9
5-pull	9
[!u2]	9
[4]?	9
[b4	9
[hf]	9
[o4]	9
[r4]?	9
[t3]	9
[u4]	9
[y	9
[y2	9
actual	9
b35	9
baton	9
bold	9
br3	9
cm'ing	9
cmd	9
couldn't	9
cute	9
d':	9
defer	9
depending	9
digging	9
discuss	9
down	9
earlier	9
fact	9
figure	9
figures	9
fill-in	9
gi3	9
happen	9
happened	9
he'd	9
her	9
hmmmmmm	9
ignoring	9
k23	9
k24	9
later	9
little	9
love	9
meant	9
n34	9
neat	9
negative	9
o23	9
odd	9
odds	9
oppo	9
perspective	9
plus	9
point	9
py	9
q:	9
ra	9
reading	9
reason	9
regardless	9
replay	9
respects	9
retroactive	9
rk	9
ro2	9
safeish	9
she's	9
sketchy	9
spooook	9
stop	9
stuff	9
tempting	9
terrible	9
terrified	9
this'll	9
true	9
uhhhhh	9
unfortunately	9
y5]	9
yes	9
yg4	9
yuck	9
!o5	8
!r1	8
!w	8
#yolo	8
&	8
(bluffed)	8
*and*	8
*was*	8
2/3	8
2save	8
[	8
[234]	8
[23]	8
[345]	8
[b2	8
[m4	8
[o]	8
[r45	8
^	8
asap	8
b/g	8
b3]	8
bi2	8
bluffing	8
bo1	8
boo	8
bw	8
close	8
considering	8
d4	8
dawn	8
derek	8
dig	8
discussion	8
dpe	8
drew	8
e.g.	8
earth	8
ef	8
everyone	8
fault	8
finesses	8
fixing	8
focused	8
full	8
fully	8
g1m2	8
g345	8
given	8
gk	8
gm4	8
go1	8
hah	8
hints	8
idiot	8
immediately	8
imo)	8
interest	8
layer	8
legit	8
lolwut	8
low	8
m2345	8
m2]	8
m3]	8
mix	8
normal	8
note:	8
now)	8
omfg	8
ook	8
ooof	8
p35	8
p5]	8
pi5	8
plan	8
protecting	8
r35	8
ri5	8
rm3	8
ry2	8
ryb	8
ryg	8
ryp	8
someone	8
speed	8
spicy	8
spook:	8
stomp	8
t58	8
t59	8
team	8
triple	8
truly	8
turned	8
unknown	8
valid	8
went	8
yb3	8
ym5	8
!4	7
!m4	7
!n2	7
!y4	7
'2'	7
'3'	7
'promised'	7
(save)	7
*if*	7
*should*	7
...	7
125	7
18	7
3)	7
5/i	7
5/o	7
????	7
[b4]?	7
[g2	7
[g2]?	7
[g5	7
[n4]	7
[o1]	7
[o5]	7
\\o	7
afterall	7
around	7
away	7
behind	7
bg4	7
bm3	7
bottom	7
bubblegum	7
calling	7
clue)	7
cming	7
completely	7
deck	7
dies	7
different	7
example	7
fan	7
fix:	7
gb4	7
gb5	7
gbp	7
gi2	7
gm3	7
go5	7
gogogo	7
gp5	7
greedy	7
gy4	7
happens	7
hilarious	7
impossible	7
interpretation	7
k45	7
lucky	7
m245	7
m35	7
matches	7
meaning	7
mildly	7
moment	7
move	7
neither	7
new	7
nooo	7
o2345	7
o45	7
ohboy	7
ohgod	7
ohh	7
opportunity	7
orange	7
proobably	7
proooobably	7
protect	7
question	7
r345	7
rbm	7
ro5	7
same	7
seph	7
setting	7
small	7
somewhat	7
spoooook	7
stacked	7
start	7
stomped	7
teal	7
therefore	7
tough	7
ty	7
understand	7
using	7
utpf	7
vaguely	7
variant	7
w/o	7
we'd	7
y1m2	7
y35	7
yg3	7
ym	7
your	7
!d	6
!o3	6
!prio	6
!u3	6
(can't	6
(could	6
(e.g.	6
(if	6
(known	6
*no*	6
*think*	6
.	6
////	6
13	6
2-save	6
5)	6
6	6
99%	6
:sob:	6
?????	6
[!m]	6
[b	6
[b3	6
[fix]ed	6
[g3]?	6
[i4	6
[m1]	6
[m2	6
[n5]	6
[p5]	6
[t2]	6
[tccm]?	6
[unclued]	6
adrone's	6
allowed	6
amazing	6
atm	6
b1/m2	6
b12	6
b1s	6
bets	6
bg3	6
bk	6
blocked	6
blocker	6
bluffed:	6
bm4	6
bother	6
boy	6
by4	6
chose	6
cleaner	6
clever	6
comes	6
confusion	6
convention	6
crazy	6
curious	6
dark	6
decide	6
declining	6
delaying	6
demonstrate	6
desperate	6
dpce	6
draws	6
ejecting	6
f'd	6
flori	6
forced	6
fuk	6
g2m1	6
g35	6
g3]	6
g5]	6
g]	6
glad	6
godamnit	6
gr4	6
gray	6
guessing	6
here)	6
hold	6
ig	6
info	6
interpreted	6
invert	6
its	6
km1	6
legal	6
lets	6
letting	6
lock	6
long	6
lordy	6
lpc:	6
m4]	6
melwen	6
