Note	Frequency (186092 in total)
unsavable	8
urgent	8
val	8
value	8
voss	8
we've	8
witt's	8
worked	8
y/p	8
y1/m1	8
ym	8
!lpc	7
!p2	7
!r1	7
!s	7
!u1	7
!u3	7
!u4	7
(hopefully)	7
+1	7
1=1+0	7
1w	7
2345	7
235	7
4i	7
7	7
:p	7
ag	7
allow	7
ar	7
assumed	7
b35	7
based	7
bi	7
boba	7
bruh	7
c45	7
care	7
clarity	7
cm'd???	7
confuse	7
conventionally	7
csave	7
d5	7
decide	7
demonstrated	7
difficult	7
drew	7
dupping	7
e1r	7
epc[cm]?	7
epccm	7
existing	7
expects	7
fact	7
fast	7
fault	7
forgotten	7
fresh	7
funny	7
g1/m1	7
g25	7
g345	7
games	7
generating	7
gp	7
greens	7
gs15	7
happens	7
haven't	7
having	7
hmmmmm	7
interpretation	7
job	7
k2345	7
lmao	7
lmk	7
m2/b1	7
m345	7
macanek	7
mark	7
mg	7
mine	7
mp	7
n24	7
o345	7
o35	7
optimal	7
passing	7
perform	7
plan	7
r/m1	7
rach	7
resolved	7
safer	7
screaming	7
sensible	7
setup	7
sfi	7
shit	7
signal	7
sin's	7
sucks	7
suit	7
t16	7
t19	7
t55:	7
t63:	7
thankfully	7
that'd	7
torp	7
u235	7
unfocusable	7
wp	7
wrongly	7
yi	7
!a3	6
!playable?	6
!u2	6
((	6
+2	6
125	6
1=0+1	6
1n	6
1r	6
2/3	6
3i	6
5p	6
@t11	6
@t13	6
@t18	6
@t20	6
[bcm]	6
asking	6
atm	6
attempt	6
avoidance	6
b/k	6
b/m5	6
b15	6
b345	6
beri	6
bit	6
blocked	6
bp	6
btw	6
busy	6
c23	6
c34	6
c345	6
colors	6
coming	6
confuzzled	6
continue	6
crits	6
daryl	6
decided	6
decision	6
default	6
deferring	6
derk	6
desparation	6
desync	6
dislike	6
distracted	6
dobi's	6
duckington	6
duplicate	6
e2r	6
e3c:	6
e3r:	6
echo[cm]	6
emergency	6
emmm	6
esp	6
eventually	6
exception	6
figure	6
frosty's	6
g/k	6
g2/m2	6
g3/i3	6
g4/m2	6
griefer	6
gtb	6
hanabi	6
helpful	6
heyyy	6
i25	6
i5/kt	6
instance	6
ir	6
jeff's	6
killing	6
knew	6
lana	6
law	6
less	6
m/r	6
m2/y3	6
m2345	6
m35	6
maca	6
mud	6
myself	6
n12	6
new	6
nitawa	6
noop	6
premature	6
priority	6
properly	6
protect	6
ps	6
r/m2	6
r15	6
r234	6
r4/5	6
ra	6
result	6
reversed	6
robense	6
rounds	6
rp	6
s5	6
sb[cm]	6
sc[cm]?	6
seeing	6
sequence	6
show	6
situation	6
slightly	6
speed	6
stealing	6
stomped	6
strong	6
style	6
super	6
suppose	6
t20	6
t23	6
t24	6
t7	6
t[cm]?	6
times	6
today	6
toss5	6
unexpected	6
unimportant	6
uod	6
wins	6
wonder	6
y25	6
y35	6
y4's	6
ya	6
zero	6
!bluff	5
!k2	5
!k3	5
!l3	5
!p4	5
!p5	5
!u5	5
!w5	5
-->?	5
1/3	5
1b	5
1k	5
1y	5
20	5
245	5
2=1+1	5
3/4	5
4's	5
4charm	5
6=5+1	5
@t10	5
@t2	5
@t23	5
[skcm]	5
a34	5
across	5
actual	5
alternatively	5
amy	5
anywhere	5
asa's	5
ask	5
avoided	5
avoiding	5
b2/i3	5
b2/i4	5
b2/m2	5
bd	5
becomes	5
bluff'd	5
browns	5
c35	5
caitlin	5
chop's	5
chops	5
clarify	5
clean	5
cm'd??	5
colton	5
comes	5
command	5
d:	5
day	5
decline	5
defers	5
degrees	5
e4r:	5
eb2	5
ehhh	5
entire	5
escm	5
explosive	5
filled	5
fire	5
fishcat	5
focuses	5
freedom	5
g/p	5
g1/m2	5
g2/3	5
g2/m3	5
g234	5
g35	5
g3s	5
g4/i3	5
globally	5
griff	5
happened	5
hello	5
higher	5
hm	5
i/g	5
i/r	5
i1/r2	5
i12	5
i2/y5	5
keeping	5
kilda	5
kind	5
lel:	5
light	5
lowest	5
m/b	5
m/g	5
m1/b2	5
m2/g1	5
m2/g3	5
m2/y1	5
m245	5
magic	5
meth	5
multiple	5
n/m	5
n1/m1	5
n234	5
nonsense	5
nsdcm	5
o2/i2	5
obv	5
p/b	5
p/y	5
playables	5
pos'd	5
prior	5
promptable	5
prophetic	5
protecting	5
pulling	5
purpose	5
r/m3	5
r/y/g	5
r1/m2	5
r2/m3	5
rachy	5
rcb	5
realized	5
refuse	5
refuses	5
related	5
remaining	5
replay	5
respect	5
rk	5
s1	5
said	5
sarcastic	5
scared	5
screwed	5
second	5
seem	5
self[cm]	5
shooot	5
sleep	5
somehow	5
soo	5
squid	5
started	5
stole	5
strictly	5
successful	5
sync	5
t32	5
t65:	5
t9	5
