player	teammate	wr	wins	games
Bot-Fiora	arv	7.41	4	54
Bot-Fiora	nkkarpov	4.41	3	68
Dr_Kakashi	Fey	25.18	35	139
Dr_Kakashi	MarkusKahlsen	25	14	56
Dr_Kakashi	Lanvin	23.89	27	113
Dr_Kakashi	qqqq	22.73	20	88
Dr_Kakashi	Libster	22.58	28	124
Dr_Kakashi	Pablo-	22.54	16	71
Dr_Kakashi	Romain672	22.02	24	109
Dr_Kakashi	asaelr	20.65	147	712
Dr_Kakashi	TheDaniMan	20.25	33	163
Dr_Kakashi	wortel	19.84	25	126
Dr_Kakashi	sjdrodge	19.76	33	167
Dr_Kakashi	Maiorskills	19.57	18	92
Dr_Kakashi	micerang	19.45	142	730
Dr_Kakashi	HelanaAshryvr	19.23	10	52
Dr_Kakashi	Zakisan	18.95	18	95
Dr_Kakashi	Floriman	18.75	159	848
Dr_Kakashi	IAMJEFF	18.15	177	975
Dr_Kakashi	kodomazer	17.88	27	151
Dr_Kakashi	Hunter	17.78	16	90
Dr_Kakashi	sephiroth	17.69	23	130
Dr_Kakashi	NoMercy	17.44	15	86
Dr_Kakashi	ace201	17.32	22	127
Dr_Kakashi	florrat2	17.24	10	58
Dr_Kakashi	Valetta6789	17.16	99	577
Dr_Kakashi	piper	16.98	45	265
Dr_Kakashi	Livia	16.77	80	477
Dr_Kakashi	Dr_Kakashi	16.69	1030	6172
Dr_Kakashi	Ptheven	16.67	14	84
Dr_Kakashi	RaKXeR	16.03	55	343
Dr_Kakashi	Sucubis	15.98	31	194
Dr_Kakashi	Fireheart	15.69	88	561
Dr_Kakashi	Kyle	15.31	111	725
Dr_Kakashi	plus	15.29	13	85
Dr_Kakashi	darkenblade986	15.25	9	59
Dr_Kakashi	DMoney	15.21	87	572
Dr_Kakashi	scharkbite	14.79	93	629
Dr_Kakashi	kimbifille	14.72	181	1230
Dr_Kakashi	duckmammal	14.71	20	136
Dr_Kakashi	Lel0uch	14.71	10	68
Dr_Kakashi	TimeHoodie	14.49	40	276
Dr_Kakashi	sin_faith	14.4	56	389
Dr_Kakashi	Jake_Stiles	14.4	18	125
Dr_Kakashi	padi	14.39	20	139
Dr_Kakashi	invarse	14.22	33	232
Dr_Kakashi	kopen	13.83	35	253
Dr_Kakashi	arv	13.64	9	66
Dr_Kakashi	Animex52	13.33	8	60
Dr_Kakashi	kooolant	13.08	17	130
Dr_Kakashi	pianoblook	12.82	40	312
Dr_Kakashi	awe	12.12	8	66
Dr_Kakashi	melwen	12	12	100
Dr_Kakashi	honzas	11.76	6	51
Dr_Kakashi	lotem	11.29	7	62
Dr_Kakashi	Nitrate2	10.96	8	73
Dr_Kakashi	indego	10.26	20	195
Dr_Kakashi	newduke	10.19	21	206
Dr_Kakashi	joelwool	9.86	7	71
Dr_Kakashi	derekcheah	9.68	6	62
Dr_Kakashi	letical	9.59	7	73
Dr_Kakashi	eevee	9.46	7	74
Dr_Kakashi	Bonja97	8.62	5	58
Dr_Kakashi	Zamiel	8.31	36	433
Dr_Kakashi	will.i.am	7.06	6	85
Dr_Kakashi	Yuga Suggah	5.88	3	51
eliclax	pianoblook	42.86	24	56
eliclax	TimeHoodie	34.38	22	64
eliclax	Aluap	33.87	21	62
eliclax	arv	30.91	17	55
eliclax	MangoPie	29.41	15	51
eliclax	rahsosprout	29.23	38	130
eliclax	ReaverSe	28.24	24	85
eliclax	HelanaAshryvr	27.27	15	55
eliclax	caña	27.07	36	133
eliclax	orucsoraihc	26.98	17	63
eliclax	catula	25.6	32	125
eliclax	MarkusKahlsen	25.45	28	110
eliclax	griff77	24.42	21	86
