Players	Avg eff	Num of games	Link
4head, ace201, arv, joelw, newduke, ReaverSe	1.82	1	https://hanab.live/history/4head/ace201/arv/joelw/newduke/ReaverSe
ADrone, Kyle, micerang, TeamLolz, TimeHoodie	1.82	1	https://hanab.live/history/ADrone/Kyle/micerang/TeamLolz/TimeHoodie
ADrone, arv, Kyle, MarkusKahlsen, piper	1.82	1	https://hanab.live/history/ADrone/arv/Kyle/MarkusKahlsen/piper
Bot-Fiora, dramos, joelw, newduke, scharkbite	1.82	1	https://hanab.live/history/Bot-Fiora/dramos/joelw/newduke/scharkbite
Carunty, frosty104, justinjlee99, sin_faith, voss	1.82	1	https://hanab.live/history/Carunty/frosty104/justinjlee99/sin_faith/voss
Cory, grayfox, James, NoMercy, scharkbite	1.82	1	https://hanab.live/history/Cory/grayfox/James/NoMercy/scharkbite
DMoney, Dr_Kakashi, James, Maiorskills, scharkbite	1.82	1	https://hanab.live/history/DMoney/Dr_Kakashi/James/Maiorskills/scharkbite
DaBeast, dobi, HelanaAshryvr, wump	1.82	1	https://hanab.live/history/DaBeast/dobi/HelanaAshryvr/wump
DarthGandalf, knaphill, possum, rahsosprout, Spieler42	1.82	1	https://hanab.live/history/DarthGandalf/knaphill/possum/rahsosprout/Spieler42
Denchulitas, eljavi, jeff10, newduke, TimeHoodie	1.82	1	https://hanab.live/history/Denchulitas/eljavi/jeff10/newduke/TimeHoodie
Dorurung, FrozenStella, ReaverSe, sinuni_hung, ssh8539	1.82	1	https://hanab.live/history/Dorurung/FrozenStella/ReaverSe/sinuni_hung/ssh8539
Dr_Kakashi, Fireheart, James, kimbifille, kooolant	1.82	1	https://hanab.live/history/Dr_Kakashi/Fireheart/James/kimbifille/kooolant
Dr_Kakashi, Floriman, indego, kimbifille, postmans	1.82	1	https://hanab.live/history/Dr_Kakashi/Floriman/indego/kimbifille/postmans
Fireheart, padi, plus, scharkbite, Valetta6789	1.82	1	https://hanab.live/history/Fireheart/padi/plus/scharkbite/Valetta6789
FrozenStella, GameConqueror, ReaverSe, sinuni_hung, ssh8539	1.82	1	https://hanab.live/history/FrozenStella/GameConqueror/ReaverSe/sinuni_hung/ssh8539
