Variant	Variant id	Games	Total	Max scores
Dark Null & Dark Prism (6 Suits)	1542	149	299	2
Cocoa Rainbow & Dark Prism (6 Suits)	1543	145	145	1
Gray & Gray Pink (6 Suits)	855	121	242	2
Dark Omni & Dark Null (6 Suits)	276	110	441	4
Pink-Ones & Gray Pink (5 Suits)	890	109	219	2
White-Fives & Dark Null (6 Suits)	636	102	102	1
Dark Brown & Dark Prism (6 Suits)	1540	95	287	3
White-Fives & Dark Null (5 Suits)	637	93	186	2
Dark Omni & Gray Pink (6 Suits)	859	73	73	1
Dark Pink & Dark Brown (6 Suits)	148	67	335	5
Cocoa Rainbow & Gray Pink (6 Suits)	862	67	135	2
Deceptive-Ones & Gray Pink (5 Suits)	1728	65	65	1
Gray & Cocoa Rainbow (6 Suits)	854	61	183	3
Black & Dark Pink (6 Suits)	139	56	1288	23
Black & Dark Null (6 Suits)	257	55	444	8
Null-Fives & Gray (5 Suits)	751	55	55	1
Black & Dark Brown (6 Suits)	91	54	865	16
Gray & Dark Null (6 Suits)	273	54	108	2
Null-Ones & Gray (6 Suits)	518	53	53	1
Deceptive-Fives & Gray (5 Suits)	1778	52	52	1
Null-Ones & Dark Null (5 Suits)	525	51	102	2
Brown-Fives & Dark Rainbow (5 Suits)	667	48	48	1
Dark Omni & Cocoa Rainbow (6 Suits)	858	46	92	2
Special Mix (6 Suits)	185	45	2644	58
Dark Brown & Gray Pink (6 Suits)	857	44	89	2
Dark Rainbow & Dark Prism (6 Suits)	1537	44	223	5
Null-Fives & Dark Brown (5 Suits)	753	42	42	1
Deceptive-Ones & Dark Rainbow (5 Suits)	1714	41	41	1
Dark Brown & Dark Null (6 Suits)	275	40	80	2
Dark Rainbow & Dark Pink (6 Suits)	146	39	553	14
Dark Rainbow & Dark Null (6 Suits)	269	39	119	3
White-Ones & Dark Null (6 Suits)	404	39	79	2
Deceptive-Fives & Dark Pink (6 Suits)	1775	39	39	1
Dark Rainbow & Dark Omni (6 Suits)	268	38	344	9
Deceptive-Fives & Gray Pink (5 Suits)	1788	38	38	1
Special Mix (5 Suits)	159	37	4438	118
Omni-Ones & Dark Brown (5 Suits)	481	37	37	1
Light-Pink-Ones & Dark Pink (6 Suits)	1101	37	37	1
Dark Pink & Dark Prism (6 Suits)	1538	37	111	3
Black & Cocoa Rainbow (6 Suits)	826	36	396	11
Black & Dark Rainbow (6 Suits)	12	35	2204	62
Gray & Dark Brown (6 Suits)	97	35	106	3
Null-Fives & Dark Rainbow (6 Suits)	746	35	70	2
Dark Pink & Gray Pink (6 Suits)	1309	34	69	2
Omni-Ones & Dark Omni (5 Suits)	483	32	32	1
Light-Pink-Ones & Dark Rainbow (5 Suits)	1100	32	32	1
Light-Pink-Ones & Cocoa Rainbow (6 Suits)	1111	32	32	1
Extremely Ambiguous & Dark Brown (6 Suits)	1415	32	64	2
Black & Dark Prism (6 Suits)	1472	32	553	17
Gray Pink & Dark Prism (6 Suits)	1544	32	32	1
Deceptive-Fives & Gray (6 Suits)	1777	32	32	1
Omni-Ones & Gray Pink (5 Suits)	926	31	31	1
Number Mute (4 Suits)	116	30	30	1
Null & Gray (6 Suits)	236	30	122	4
Light-Pink-Fives & Dark Omni (6 Suits)	1211	30	120	4
Alternating Clues & Dark Rainbow (6 Suits)	1448	30	60	2
Pink-Ones & Gray Pink (6 Suits)	889	29	145	5
Muddy-Rainbow-Ones & Dark Omni (6 Suits)	1055	29	29	1
Number Mute (5 Suits)	115	28	115	4
Dark Pink & Gray (6 Suits)	147	28	373	13
Gray & Dark Omni (6 Suits)	272	28	84	3
Muddy Rainbow & Dark Null (5 Suits)	823	28	28	1
Null & Cocoa Rainbow (5 Suits)	836	28	56	2
Extremely Ambiguous & Gray Pink (6 Suits)	1423	28	28	1
Brown-Fives & Gray (6 Suits)	670	27	27	1
Dark Null & Cocoa Rainbow (6 Suits)	860	27	55	2
Pink-Fives & Gray Pink (6 Suits)	961	27	54	2
Muddy-Rainbow-Fives & Light Pink (6 Suits)	1147	27	27	1
Pink & Dark Null (6 Suits)	260	26	239	9
White-Fives & Dark Brown (5 Suits)	633	26	52	2
Light-Pink-Fives & Dark Null (6 Suits)	1213	26	26	1
Light-Pink-Fives & Gray Pink (6 Suits)	1217	26	26	1
Muddy-Rainbow-Ones & Black (6 Suits)	1330	26	238	9
White Reversed (6 Suits)	1356	26	4745	182
Black & Gray (6 Suits)	60	25	1188	47
Black & Dark Omni (6 Suits)	244	25	407	16
Pink-Ones & Gray (5 Suits)	359	25	129	5
Omni-Ones & Gray (6 Suits)	478	25	51	2
Omni-Ones & Dark Omni (6 Suits)	482	25	25	1
Brown-Fives & Dark Pink (5 Suits)	669	25	25	1
Brown-Fives & Dark Omni (5 Suits)	675	25	25	1
Light Pink & Dark Null (6 Suits)	824	25	75	3
Pink-Fives & Cocoa Rainbow (6 Suits)	959	25	76	3
Light-Pink-Ones & Dark Rainbow (6 Suits)	1099	25	51	2
Very Ambiguous & Light Pink (4 Suits)	1408	25	50	2
Gray & Dark Prism (6 Suits)	1539	25	25	1
Deceptive-Fives & Dark Brown (6 Suits)	1779	25	51	2
Alternating Clues & Brown (6 Suits)	1258	24	49	2
Dark Rainbow & Cocoa Rainbow (6 Suits)	1308	24	121	5
Extremely Ambiguous & Black (6 Suits)	1379	24	73	3
Dark Rainbow & Gray (6 Suits)	62	23	213	9
Dark Null & Gray Pink (6 Suits)	861	23	23	1
Throw It in a Hole & Omni (5 Suits)	1233	23	23	1
Ambiguous & Dark Omni (5 Suits)	1375	23	23	1
Odds and Evens & Rainbow (6 Suits)	1842	23	23	1
Dark Null (6 Suits)	255	22	1056	47
Null & Muddy Rainbow (3 Suits)	779	22	112	5
Light-Pink-Fives & Dark Omni (5 Suits)	1212	22	22	1
White-Fives & Dark Prism (6 Suits)	1609	22	67	3
Duck (6 Suits)	54	21	303	14
Number Mute (6 Suits)	114	21	64	3
Dark Brown & Dark Omni (6 Suits)	274	21	85	4
Pink-Ones & Dark Null (6 Suits)	364	21	21	1
Light-Pink-Ones & Dark Brown (5 Suits)	1106	21	21	1
Alternating Clues & Rainbow (6 Suits)	1246	21	87	4
Null & Dark Omni (6 Suits)	253	20	83	4
Rainbow-Ones & Dark Null (5 Suits)	325	20	40	2
Omni-Ones & Gray (5 Suits)	479	20	61	3
White-Fives & Dark Omni (6 Suits)	634	20	40	2
Light-Pink-Ones & Dark Null (6 Suits)	1109	20	20	1
Muddy-Rainbow-Fives & Gray Pink (6 Suits)	1165	20	40	2
Light-Pink-Fives & Cocoa Rainbow (6 Suits)	1215	20	60	3
Synesthesia (3 Suits)	1387	20	41	2
Null & Dark Prism (5 Suits)	1508	20	80	4
Deceptive-Fives & Dark Omni (6 Suits)	1781	20	40	2
Dark Null (5 Suits)	256	19	959	50
Light Pink & Dark Rainbow (5 Suits)	807	19	493	25
Muddy Rainbow & Dark Brown (5 Suits)	815	19	96	5
Muddy-Rainbow-Ones & Dark Brown (6 Suits)	1053	19	19	1
Null-Fives & Black (5 Suits)	1337	19	38	2
Muddy-Rainbow-Ones & Dark Prism (5 Suits)	1586	19	19	1
Deceptive-Ones & Dark Pink (6 Suits)	1715	19	38	2
Deceptive-Fives & Dark Rainbow (6 Suits)	1773	19	76	4
Black & Null (6 Suits)	188	18	652	36
Rainbow & Dark Null (6 Suits)	258	18	274	15
Omni & Dark Null (6 Suits)	266	18	108	6
Rainbow-Ones & Dark Null (6 Suits)	324	18	37	2
White-Fives & Dark Rainbow (6 Suits)	626	18	163	9
Brown & Cocoa Rainbow (5 Suits)	832	18	163	9
Dark Brown & Cocoa Rainbow (6 Suits)	856	18	18	1
Omni-Fives & Cocoa Rainbow (6 Suits)	995	18	36	2
Alternating Clues & White (6 Suits)	1254	18	94	5
Alternating Clues & Omni (6 Suits)	1262	18	37	2
Clue Starved & Light Pink (6 Suits)	1291	18	147	8
Brown-Fives & Black (6 Suits)	1328	18	92	5
Light-Pink-Ones & Dark Prism (6 Suits)	1591	18	36	2
Alternating Clues & Dark Prism (6 Suits)	1656	18	18	1
Alternating Clues & Dark Prism (5 Suits)	1657	18	18	1
Deceptive-Ones & Gray Pink (6 Suits)	1727	18	18	1
Odds and Evens & Prism (4 Suits)	1876	18	18	1
Odds and Evens & Dark Null (6 Suits)	1888	18	18	1
Black (6 Suits)	2	17	46183	2703
Black & Null (5 Suits)	189	17	573	32
Null & Dark Rainbow (5 Suits)	229	17	86	5
Brown & Dark Null (6 Suits)	264	17	88	5
Dark Pink & Dark Omni (6 Suits)	270	17	120	7
Pink-Ones & Dark Omni (6 Suits)	362	17	52	3
Pink-Fives & Dark Rainbow (5 Suits)	587	17	17	1
Null-Fives & Brown (6 Suits)	734	17	35	2
Muddy Rainbow & Dark Omni (6 Suits)	818	17	123	7
Muddy-Rainbow-Ones & Gray Pink (6 Suits)	1061	17	51	3
Muddy-Rainbow-Fives & Omni (3 Suits)	1138	17	17	1
Muddy-Rainbow-Fives & Dark Brown (5 Suits)	1158	17	17	1
Clue Starved & Omni (6 Suits)	1285	17	137	8
Ambiguous & Dark Null (5 Suits)	1376	17	34	2
Extremely Ambiguous & Black (5 Suits)	1382	17	17	1
Light Pink & Dark Prism (5 Suits)	1520	17	103	6
Null-Ones & Dark Prism (6 Suits)	1579	17	53	3
Light-Pink-Fives & Dark Prism (6 Suits)	1639	17	17	1
Dark Rainbow & Dark Brown (6 Suits)	96	16	80	5
Omni & Dark Brown (5 Suits)	239	16	160	10
Rainbow-Ones & Dark Brown (5 Suits)	321	16	65	4
White-Fives & Null (3 Suits)	625	16	16	1
Brown-Fives & Omni (3 Suits)	661	16	32	2
Omni-Fives & Dark Brown (5 Suits)	713	16	32	2
Null-Fives & Dark Brown (6 Suits)	752	16	32	2
Light Pink & Dark Null (5 Suits)	825	16	32	2
Dark Pink & Cocoa Rainbow (6 Suits)	853	16	49	3
Rainbow-Ones & Cocoa Rainbow (6 Suits)	875	16	65	4
Pink-Ones & Cocoa Rainbow (6 Suits)	887	16	65	4
Light-Pink-Ones & Cocoa Rainbow (5 Suits)	1112	16	33	2
Muddy-Rainbow-Fives & Gray (5 Suits)	1156	16	32	2
Muddy-Rainbow-Fives & Dark Omni (6 Suits)	1159	16	16	1
Extremely Ambiguous & Null (5 Suits)	1401	16	16	1
Alternating Clues & Gray (6 Suits)	1452	16	16	1
Null & Dark Prism (6 Suits)	1507	16	33	2
Prism & Dark Null (6 Suits)	1531	16	32	2
Dark Omni & Dark Prism (6 Suits)	1541	16	16	1
Omni-Ones & Dark Prism (6 Suits)	1573	16	16	1
Ambiguous & Dark Prism (5 Suits)	1643	16	16	1
Deceptive-Ones & Cocoa Rainbow (5 Suits)	1726	16	50	3
Ambiguous Mix	20	15	743	49
Clue Starved (6 Suits)	51	15	1054	67
Black & Rainbow (5 Suits)	66	15	2514	165
White & Dark Null (5 Suits)	263	15	137	9
Brown-Ones & Dark Null (6 Suits)	444	15	15	1
Pink-Fives & Dark Brown (6 Suits)	592	15	78	5
Null & Cocoa Rainbow (6 Suits)	835	15	60	4
Light Pink & Cocoa Rainbow (5 Suits)	838	15	90	6
Brown-Ones & Cocoa Rainbow (5 Suits)	912	15	31	2
Null-Ones & Cocoa Rainbow (6 Suits)	935	15	15	1
Light-Pink-Ones & Brown (6 Suits)	1079	15	31	2
Light-Pink-Fives & Dark Pink (5 Suits)	1206	15	30	2
Throw It in a Hole & Brown (6 Suits)	1229	15	31	2
Muddy-Rainbow-Fives & Black (5 Suits)	1339	15	31	2
Light-Pink-Fives & Black (5 Suits)	1341	15	45	3
Alternating Clues & Dark Rainbow (5 Suits)	1449	15	47	3
Null-Ones & Dark Prism (5 Suits)	1580	15	15	1
Rainbow & Dark Brown (5 Suits)	93	14	527	37
Number Mute (3 Suits)	117	14	43	3
Omni & Dark Rainbow (6 Suits)	226	14	236	16
Omni & Dark Brown (6 Suits)	238	14	161	11
Pink & Dark Omni (6 Suits)	247	14	431	30
Pink & Dark Null (5 Suits)	261	14	127	9
Rainbow-Ones & Dark Omni (5 Suits)	323	14	42	3
Omni-Fives & Omni (6 Suits)	698	14	70	5
Omni-Fives & Dark Rainbow (5 Suits)	707	14	72	5
Light Pink & Dark Omni (6 Suits)	820	14	99	7
Null & Gray Pink (5 Suits)	849	14	57	4
Omni-Ones & Cocoa Rainbow (6 Suits)	923	14	14	1
Light-Pink-Ones & Dark Brown (6 Suits)	1105	14	29	2
Pink & Gray Pink (6 Suits)	1302	14	278	19
Extremely Ambiguous & Omni (5 Suits)	1398	14	29	2
Extremely Ambiguous & Dark Null (6 Suits)	1419	14	14	1
Muddy-Rainbow-Fives & Dark Prism (5 Suits)	1634	14	42	3
Dark Rainbow (6 Suits)	11	13	11560	859
Clue Starved & Rainbow (6 Suits)	53	13	263	19
Gray (6 Suits)	59	13	3189	231
Cow & Pig (6 Suits)	98	13	252	19
Black & Omni (6 Suits)	186	13	736	56
Black & Omni (5 Suits)	187	13	781	60
Cocoa Rainbow (6 Suits)	290	13	1519	109
Rainbow-Ones & Gray (6 Suits)	318	13	119	9
Pink-Ones & Gray (6 Suits)	358	13	68	5
White-Fives & Dark Pink (6 Suits)	628	13	55	4
White-Fives & Dark Omni (5 Suits)	635	13	53	4
Brown-Fives & Cocoa Rainbow (5 Suits)	984	13	27	2
Muddy-Rainbow-Ones & Dark Pink (6 Suits)	1049	13	13	1
Muddy-Rainbow-Ones & Dark Brown (5 Suits)	1054	13	13	1
Muddy-Rainbow-Fives & Dark Rainbow (6 Suits)	1151	13	80	6
Muddy-Rainbow-Fives & Dark Rainbow (5 Suits)	1152	13	55	4
Muddy-Rainbow-Fives & Gray Pink (5 Suits)	1166	13	26	2
Light-Pink-Fives & Dark Null (5 Suits)	1214	13	13	1
Throw It in a Hole & Null (5 Suits)	1236	13	26	2
Alternating Clues & Muddy Rainbow (5 Suits)	1271	13	13	1
Clue Starved & Brown (6 Suits)	1283	13	145	11
Pink-Ones & Black (5 Suits)	1313	13	122	9
Light-Pink-Fives & Black (6 Suits)	1340	13	66	5
Ambiguous & Gray Pink (5 Suits)	1378	13	26	2
Gray Reversed (5 Suits)	1385	13	235	17
Extremely Ambiguous & Light Pink (6 Suits)	1406	13	27	2
Dual-Color & Dark Pink (6 Suits)	1441	13	138	10
Omni & Dark Prism (6 Suits)	1501	13	186	14
Prism & Gray (6 Suits)	1525	13	250	19
Brown-Fives & Dark Prism (6 Suits)	1615	13	40	3
Deceptive-Fives & Brown (6 Suits)	1749	13	54	4
Deceptive-Fives & Cocoa Rainbow (6 Suits)	1785	13	40	3
Critical Fours & Rainbow (6 Suits)	1823	13	216	16
Black (5 Suits)	21	12	11633	920
Omni & Gray (5 Suits)	235	12	126	10
Null & Dark Brown (5 Suits)	241	12	24	2
White-Ones & Dark Brown (5 Suits)	401	12	73	6
White-Ones & Dark Null (5 Suits)	405	12	38	3
Null-Ones & Dark Rainbow (6 Suits)	514	12	25	2
Brown-Fives & Null (6 Suits)	662	12	25	2
Brown-Fives & Dark Brown (6 Suits)	672	12	24	2
Brown-Fives & Dark Brown (5 Suits)	673	12	25	2
Omni-Fives & Dark Null (6 Suits)	716	12	12	1
Omni-Fives & Dark Null (5 Suits)	717	12	12	1
Null-Fives & White (6 Suits)	730	12	61	5
Null-Fives & Omni (5 Suits)	739	12	25	2
Light Pink & Gray (5 Suits)	813	12	114	9
Black & Gray Pink (6 Suits)	839	12	346	28
Omni & Gray Pink (6 Suits)	846	12	112	9
Dark Rainbow & Gray Pink (6 Suits)	852	12	38	3
Omni-Ones & Muddy Rainbow (5 Suits)	916	12	25	2
Omni-Ones & Cocoa Rainbow (5 Suits)	924	12	24	2
Null-Ones & Cocoa Rainbow (5 Suits)	936	12	24	2
Brown-Fives & Gray Pink (5 Suits)	986	12	38	3
Omni-Fives & Muddy Rainbow (3 Suits)	990	12	12	1
Light-Pink-Ones & Gray (5 Suits)	1104	12	36	3
Light-Pink-Fives & Dark Rainbow (5 Suits)	1204	12	38	3
Light-Pink-Fives & Dark Brown (6 Suits)	1209	12	60	5
Alternating Clues & Pink (6 Suits)	1250	12	48	4
Alternating Clues & Omni (5 Suits)	1263	12	12	1
Clue Starved & Null (6 Suits)	1287	12	110	9
Null-Fives & Black (6 Suits)	1336	12	38	3
Alternating Clues & Dark Pink (5 Suits)	1451	12	12	1
Omni & Dark Prism (5 Suits)	1502	12	136	11
Prism & Cocoa Rainbow (5 Suits)	1534	12	89	7
Omni-Fives & Dark Prism (5 Suits)	1622	12	24	2
Clue Starved & Prism (5 Suits)	1659	12	197	16
Deceptive-Fives & Muddy Rainbow (4 Suits)	1763	12	12	1
Deceptive-Fives & Prism (4 Suits)	1771	12	24	2
Deceptive-Fives & Dark Rainbow (5 Suits)	1774	12	25	2
Odds and Evens & Omni (5 Suits)	1859	12	12	1
Brown & Gray (5 Suits)	88	11	354	30
Dark Brown (6 Suits)	89	11	1624	140
White & Dark Brown (6 Suits)	94	11	395	34
Black & Pink (6 Suits)	118	11	1313	118
Pink & Dark Brown (6 Suits)	135	11	297	27
Brown & Null (3 Suits)	221	11	133	12
Omni & Null (3 Suits)	225	11	202	18
Null & Gray (5 Suits)	237	11	66	6
Rainbow & Dark Null (5 Suits)	259	11	104	9
Omni & Dark Null (5 Suits)	267	11	56	5
Dark Pink & Dark Null (6 Suits)	271	11	67	6
White-Ones & Gray (6 Suits)	398	11	93	8
Brown-Ones & Dark Rainbow (6 Suits)	434	11	106	9
Brown-Ones & Dark Brown (5 Suits)	441	11	66	6
Omni-Ones & Dark Pink (5 Suits)	477	11	33	3
Null-Ones & Dark Omni (6 Suits)	522	11	35	3
Pink-Fives & Dark Omni (6 Suits)	594	11	69	6
Pink-Fives & Dark Null (5 Suits)	597	11	34	3
Black & Muddy Rainbow (5 Suits)	759	11	611	54
Light Pink & Gray (6 Suits)	812	11	158	14
Omni & Cocoa Rainbow (6 Suits)	833	11	91	8
Pink-Fives & Cocoa Rainbow (5 Suits)	960	11	34	3
White-Fives & Cocoa Rainbow (5 Suits)	972	11	45	4
Muddy-Rainbow-Ones & Cocoa Rainbow (5 Suits)	1060	11	35	3
Light-Pink-Ones & Light Pink (6 Suits)	1095	11	22	2
Light-Pink-Ones & Gray Pink (5 Suits)	1114	11	11	1
Muddy-Rainbow-Fives & Pink (6 Suits)	1123	11	79	7
Muddy-Rainbow-Fives & Dark Pink (5 Suits)	1154	11	33	3
Clue Starved & Muddy Rainbow (6 Suits)	1289	11	68	6
Rainbow & Cocoa Rainbow (5 Suits)	1301	11	235	21
Rainbow-Ones & Black (6 Suits)	1310	11	242	22
Rainbow-Ones & Black (5 Suits)	1311	11	239	21
Brown-Ones & Black (6 Suits)	1316	11	149	13
Omni-Ones & Black (6 Suits)	1320	11	35	3
Ambiguous & Dark Brown (5 Suits)	1374	11	45	4
Extremely Ambiguous & Muddy Rainbow (6 Suits)	1403	11	11	1
Dual-Color & Dark Rainbow (6 Suits)	1440	11	244	21
Dark Prism (6 Suits)	1468	11	1582	134
White & Dark Prism (5 Suits)	1490	11	292	26
Omni-Fives & Dark Prism (6 Suits)	1621	11	11	1
Null-Fives & Prism (6 Suits)	1623	11	22	2
Deceptive-Ones & Black (6 Suits)	1675	11	67	6
Deceptive-Ones & Dark Pink (5 Suits)	1716	11	11	1
Deceptive-Fives & Dark Pink (5 Suits)	1776	11	11	1
Odds and Evens & White (3 Suits)	1853	11	11	1
Dual-Color Mix	7	10	3595	334
Up or Down & Null (6 Suits)	61	10	159	15
Rainbow & Gray (6 Suits)	67	10	631	63
Color Mute (6 Suits)	110	10	85	8
Null & Dark Brown (6 Suits)	240	10	87	8
White & Dark Null (6 Suits)	262	10	80	8
Extremely Ambiguous (6 Suits)	288	10	350	34
Cocoa Rainbow (5 Suits)	291	10	1049	104
Gray Pink (6 Suits)	292	10	1103	108
Rainbow-Ones & Gray (5 Suits)	319	10	61	6
Pink-Ones & Null (5 Suits)	351	10	40	4
Pink-Ones & Dark Rainbow (6 Suits)	354	10	50	5
Pink-Ones & Dark Null (5 Suits)	365	10	31	3
Omni-Ones & Dark Pink (6 Suits)	476	10	31	3
Null-Ones & Null (3 Suits)	513	10	73	7
Rainbow-Fives & Omni (5 Suits)	547	10	20	2
Rainbow-Fives & Gray (6 Suits)	558	10	65	6
Pink-Fives & Null (6 Suits)	582	10	20	2
Omni-Fives & Dark Rainbow (6 Suits)	706	10	63	6
Omni-Fives & Dark Omni (6 Suits)	714	10	32	3
Null & Light Pink (6 Suits)	798	10	112	11
Pink & Cocoa Rainbow (5 Suits)	828	10	220	21
Brown & Cocoa Rainbow (6 Suits)	831	10	144	14
Null-Ones & Gray Pink (6 Suits)	937	10	20	2
Pink-Fives & Muddy Rainbow (5 Suits)	952	10	21	2
Muddy-Rainbow-Ones & Dark Null (6 Suits)	1057	10	21	2
Muddy-Rainbow-Fives & Dark Null (5 Suits)	1162	10	10	1
Throw It in a Hole & Null (6 Suits)	1235	10	10	1
Alternating Clues & Muddy Rainbow (6 Suits)	1270	10	31	3
Rainbow & Cocoa Rainbow (6 Suits)	1300	10	271	26
Light Pink & Dark Pink (6 Suits)	1306	10	122	12
Light Pink & Dark Pink (5 Suits)	1307	10	109	10
Muddy-Rainbow-Ones & Black (5 Suits)	1331	10	64	6
Omni-Fives & Black (5 Suits)	1333	10	42	4
Black Reversed (6 Suits)	1346	10	419	41
Ambiguous & Dark Pink (5 Suits)	1372	10	41	4
Ambiguous & Gray (5 Suits)	1373	10	40	4
Extremely Ambiguous & Pink (6 Suits)	1388	10	10	1
Extremely Ambiguous & Dark Omni (6 Suits)	1417	10	10	1
