variant	count
White & Prism (4 Suits)	102
White-Fives & Dark Null (6 Suits)	102
Pink & Null (3 Suits)	102
White & Cocoa Rainbow (6 Suits)	99
Gray & Dark Brown (6 Suits)	99
Up or Down & Muddy Rainbow (6 Suits)	98
Pink-Ones (5 Suits)	97
Pink & Light Pink (4 Suits)	96
Rainbow-Ones & White (5 Suits)	95
Brown & Cocoa Rainbow (5 Suits)	95
Very Ambiguous (3 Suits)	94
White-Ones & Black (5 Suits)	93
Clue Starved & Brown (5 Suits)	93
White & Gray Pink (6 Suits)	93
Omni & Gray (6 Suits)	92
White-Ones & White (6 Suits)	91
Rainbow-Ones (4 Suits)	91
Omni-Fives & Brown (6 Suits)	91
Omni & Dark Brown (6 Suits)	90
Dark Rainbow & Dark Null (6 Suits)	90
Brown & Dark Prism (6 Suits)	89
Clue Starved & Pink (5 Suits)	89
Light-Pink-Ones (5 Suits)	89
White & Dark Rainbow (5 Suits)	88
Omni & Muddy Rainbow (5 Suits)	87
Muddy Rainbow & Light Pink (5 Suits)	87
Rainbow-Ones & Pink (6 Suits)	87
Light Pink & Dark Pink (6 Suits)	87
White-Ones & Brown (5 Suits)	86
Brown & Light Pink (5 Suits)	86
Brown-Fives (5 Suits)	86
Brown & Muddy Rainbow (6 Suits)	86
Rainbow & Omni (4 Suits)	86
Omni & Light Pink (5 Suits)	86
Pink & Dark Brown (5 Suits)	85
White-Ones & Brown (6 Suits)	85
Deceptive-Ones (6 Suits)	85
Brown & Dark Rainbow (5 Suits)	84
Brown & Muddy Rainbow (4 Suits)	84
Alternating Clues (4 Suits)	83
Color Mute (5 Suits)	83
Pink-Ones & Black (5 Suits)	82
Dark Brown & Dark Omni (6 Suits)	82
Dark Omni & Cocoa Rainbow (6 Suits)	82
Brown & Dark Pink (6 Suits)	82
Reversed (3 Suits)	81
White & Null (4 Suits)	81
White-Ones & Rainbow (6 Suits)	81
Rainbow-Ones & White (6 Suits)	80
Dark Brown & Dark Null (6 Suits)	80
