Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Durandal	18.55% (147)	16.49% (113)	40.0% (14)	100.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (6)	14.29% (16)	10.87% (51)	13.64% (75)	8.11% (80)	20.0% (84)	4.73% (155)	11.88% (113)	12.12% (111)	21.05% (115)	11.04% (181)	17.67% (293)	15.03% (199)	17.91% (158)	10.39% (170)	16.03% (181)
eliclax	0% (0)	0.0% (1)	100.0% (2)	28.57% (9)	45.45% (16)	20.0% (12)	0.0% (9)	0.0% (7)	14.29% (8)	19.05% (25)	17.86% (33)	58.82% (27)	23.08% (32)	17.86% (33)	38.1% (29)	4.55% (23)	7.69% (14)	25.0% (5)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)
emilyzhao	24.49% (61)	23.08% (80)	29.63% (70)	16.05% (94)	26.37% (115)	35.09% (77)	44.44% (52)	44.44% (13)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	8.33% (26)	17.39% (27)	33.33% (44)	12.24% (55)	30.95% (55)	41.67% (51)	27.78% (46)	12.24% (55)	19.57% (55)
FerKeth	9.09% (12)	66.67% (5)	18.18% (13)	4.35% (24)	24.14% (36)	8.33% (26)	16.13% (36)	0.0% (9)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	0% (0)	0.0% (2)	100.0% (2)	50.0% (3)	12.5% (9)
Fey	0% (0)	0% (0)	0% (0)	14.29% (8)	32.2% (78)	22.73% (189)	25.27% (233)	30.06% (225)	33.55% (203)	26.52% (167)	15.48% (97)	39.39% (46)	24.32% (46)	36.67% (82)	25.0% (80)	30.39% (133)	36.41% (296)	43.72% (332)	23.14% (149)	34.43% (82)	31.25% (105)	35.14% (50)	33.33% (12)	0% (0)
Fireheart	11.28% (148)	21.7% (129)	11.64% (211)	15.48% (276)	13.62% (342)	13.28% (307)	17.84% (284)	22.81% (280)	14.4% (421)	15.26% (506)	14.05% (487)	22.11% (370)	17.85% (449)	21.39% (420)	15.5% (395)	16.29% (407)	15.79% (308)	14.92% (285)	20.7% (379)	22.28% (450)	28.99% (436)	27.74% (350)	24.32% (276)	12.3% (137)
fishcat	30.77% (51)	17.95% (46)	29.55% (57)	14.29% (32)	12.5% (18)	0.0% (5)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	33.33% (4)	25.0% (5)	13.33% (34)	23.26% (53)	28.57% (27)	69.23% (22)	27.59% (37)	23.68% (47)	14.89% (54)	10.17% (65)
Floriman	29.17% (31)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	20.0% (18)	18.87% (63)	22.11% (116)	12.96% (122)	26.19% (106)	18.95% (113)	26.32% (120)	21.65% (118)	27.88% (133)	26.35% (187)	34.03% (193)	29.2% (177)	24.15% (257)	25.0% (355)	19.18% (435)	22.51% (419)	25.44% (212)
florrat2	13.54% (109)	20.0% (120)	17.92% (204)	24.12% (211)	19.86% (175)	37.84% (51)	11.11% (10)	0.0% (2)	0% (0)	0% (0)	33.33% (4)	0.0% (4)	33.33% (4)	9.09% (12)	0.0% (17)	6.25% (17)	19.05% (25)	54.17% (37)	24.14% (72)	16.95% (69)	28.33% (77)	11.11% (60)	34.21% (51)	14.77% (101)
hakha3	36.36% (60)	10.0% (44)	50.0% (12)	50.0% (3)	100.0% (2)	0% (0)	0% (0)	0% (0)	0.0% (2)	16.67% (7)	40.0% (28)	31.03% (38)	21.28% (57)	20.83% (58)	27.45% (65)	19.61% (61)	31.71% (54)	25.0% (45)	25.0% (75)	44.68% (68)	32.81% (85)	18.87% (63)	23.08% (64)	18.18% (52)
HariKrishnan	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (2)	36.36% (15)	0.0% (13)	7.14% (15)	28.57% (9)	0.0% (6)	100.0% (2)
HelanaAshryvr	16.42% (312)	21.95% (300)	13.4% (237)	20.35% (207)	24.16% (185)	18.1% (137)	21.52% (96)	25.58% (54)	25.0% (35)	0.0% (10)	50.0% (9)	28.57% (9)	0.0% (5)	12.5% (45)	7.62% (113)	30.17% (151)	12.97% (209)	22.14% (160)	18.88% (170)	16.74% (279)	16.67% (245)	19.23% (217)	14.65% (227)	15.85% (285)
IAMJEFF	10.81% (41)	23.94% (88)	16.18% (201)	20.82% (325)	23.44% (316)	16.91% (325)	23.41% (253)	26.16% (217)	11.83% (312)	11.36% (451)	14.77% (443)	18.77% (386)	21.14% (384)	20.45% (477)	18.12% (554)	18.31% (517)	20.59% (410)	30.05% (238)	23.74% (172)	21.15% (126)	14.63% (94)	14.0% (57)	17.65% (20)	13.33% (17)
indego	14.18% (153)	14.02% (187)	8.46% (218)	9.26% (236)	10.63% (229)	13.22% (197)	9.29% (200)	14.09% (251)	14.34% (279)	12.0% (252)	11.74% (276)	7.81% (276)	7.78% (194)	18.95% (182)	14.29% (208)	8.51% (204)	10.53% (210)	15.21% (303)	14.04% (268)	9.74% (214)	13.09% (216)	8.89% (196)	11.31% (187)	24.14% (144)
Instantiation	0.0% (14)	26.67% (19)	14.81% (31)	17.39% (27)	12.5% (36)	8.7% (25)	28.57% (27)	16.67% (7)	20.0% (6)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	100.0% (4)	12.5% (9)	14.29% (16)	15.38% (15)
invarse	19.7% (158)	31.08% (97)	14.81% (62)	25.53% (59)	18.18% (13)	0.0% (3)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	60.0% (8)	8.7% (25)	24.14% (36)	26.83% (52)	18.52% (32)	33.33% (16)	10.53% (21)	15.0% (46)	14.1% (89)	20.9% (81)	20.45% (159)	15.9% (226)
IsabeltheCat	12.16% (83)	8.43% (90)	15.84% (117)	9.86% (78)	22.89% (102)	16.85% (104)	16.0% (87)	9.26% (59)	26.09% (29)	75.0% (7)	0.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (4)	12.5% (9)	11.63% (48)	19.44% (43)	35.29% (46)	12.2% (46)	28.95% (49)	12.31% (73)	19.35% (74)
jack67889	25.0% (25)	60.0% (8)	50.0% (3)	0% (0)	0.0% (1)	0% (0)	20.0% (6)	50.0% (9)	111.11% (19)	29.63% (35)	31.58% (50)	24.19% (77)	25.37% (84)	28.41% (113)	20.0% (108)	22.86% (86)	19.1% (106)	22.08% (94)	22.41% (71)	22.0% (61)	25.56% (113)	20.61% (158)	24.39% (153)	20.78% (93)
Jake_Stiles	15.96% (356)	16.38% (533)	17.53% (610)	21.21% (440)	19.35% (148)	18.18% (52)	10.0% (11)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	15.38% (15)	22.86% (43)	25.45% (69)	21.79% (95)	13.04% (104)	25.64% (98)	17.95% (92)	24.56% (71)	18.67% (89)	18.48% (109)	14.12% (97)	12.6% (143)
jeff10	10.71% (62)	15.66% (96)	8.47% (128)	14.08% (81)	18.75% (38)	18.18% (13)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (1)	10.53% (21)	17.86% (33)	19.7% (79)	17.0% (117)	16.84% (111)	15.0% (92)	16.95% (69)	22.22% (88)	17.72% (93)	17.11% (89)	14.06% (73)
katian	0% (0)	0% (0)	0.0% (2)	0.0% (7)	0.0% (7)	10.0% (11)	10.53% (21)	25.81% (39)	57.5% (63)	18.18% (65)	12.96% (61)	20.69% (35)	14.06% (73)	10.2% (108)	16.33% (114)	14.29% (104)	18.57% (83)	0.0% (23)	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)
Kernel	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	200.0% (6)	12.5% (9)	13.33% (17)	5.88% (18)	21.43% (17)	23.53% (21)	25.0% (5)	10.0% (11)	40.0% (14)	38.89% (25)	15.0% (23)	11.76% (19)	11.54% (29)	16.67% (28)	33.33% (12)	33.33% (4)
kimbifille	12.0% (448)	13.66% (466)	15.44% (516)	17.45% (525)	19.95% (439)	18.63% (363)	22.38% (175)	41.18% (72)	46.67% (22)	21.43% (17)	4.35% (24)	9.68% (68)	8.53% (140)	24.18% (113)	16.1% (137)	27.61% (171)	13.94% (237)	14.89% (301)	22.49% (256)	10.64% (260)	15.59% (304)	18.04% (386)	17.78% (424)	16.38% (405)
kopen	12.28% (64)	36.59% (56)	19.05% (75)	22.22% (77)	27.27% (84)	18.07% (98)	14.1% (89)	15.84% (117)	17.0% (117)	28.75% (103)	15.0% (69)	17.78% (53)	11.76% (19)	0.0% (9)	0% (0)	11.11% (10)	23.81% (26)	18.75% (19)	16.67% (7)	85.71% (13)	27.27% (28)	18.75% (57)	20.41% (59)	22.22% (55)
ksfortson	28.57% (27)	8.11% (40)	20.37% (65)	18.84% (82)	16.67% (98)	18.42% (90)	11.49% (97)	28.36% (86)	29.63% (35)	25.0% (5)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (5)	18.18% (13)	11.11% (10)	27.27% (14)	0.0% (24)	26.09% (29)	17.24% (34)	22.86% (43)
Kyle	23.0% (246)	23.58% (283)	19.85% (320)	18.22% (279)	19.9% (241)	19.85% (157)	27.59% (74)	14.71% (39)	0.0% (3)	0% (0)	0.0% (4)	0.0% (5)	50.0% (3)	9.3% (47)	16.22% (172)	22.65% (352)	19.32% (420)	17.57% (475)	21.21% (480)	20.05% (521)	22.6% (472)	17.13% (465)	13.87% (312)	10.81% (287)
Lanvin	15.88% (321)	18.88% (296)	13.4% (220)	25.69% (137)	25.0% (70)	14.29% (16)	0.0% (2)	33.33% (4)	22.22% (11)	30.0% (26)	20.83% (58)	31.54% (171)	14.72% (265)	18.71% (330)	17.07% (240)	13.39% (144)	22.43% (131)	21.69% (230)	20.18% (393)	23.01% (433)	22.26% (412)	23.08% (368)	13.39% (381)	17.63% (347)
Lel0uch	47.83% (34)	25.32% (99)	10.64% (208)	20.16% (292)	21.36% (250)	20.0% (312)	10.07% (306)	17.38% (358)	20.63% (462)	13.22% (411)	16.37% (462)	13.08% (467)	16.44% (425)	22.74% (340)	20.0% (366)	17.05% (309)	21.29% (302)	27.69% (309)	21.93% (228)	17.54% (134)	26.79% (71)	22.22% (22)	10.0% (11)	9.09% (12)
Libster	18.45% (199)	22.94% (209)	19.55% (214)	22.64% (195)	22.15% (193)	26.92% (99)	21.43% (34)	40.0% (7)	0.0% (1)	0.0% (1)	0% (0)	50.0% (3)	25.0% (10)	28.57% (36)	13.58% (92)	16.67% (98)	18.09% (111)	31.67% (158)	18.06% (170)	20.83% (145)	27.71% (106)	17.14% (82)	10.71% (124)	10.46% (169)
Livia	15.38% (165)	16.92% (76)	23.33% (37)	23.08% (16)	0% (0)	0% (0)	20.0% (6)	26.67% (19)	20.37% (65)	35.21% (96)	13.49% (143)	22.22% (99)	24.66% (91)	18.07% (98)	14.58% (110)	17.53% (114)	21.95% (100)	20.35% (136)	18.66% (159)	22.16% (226)	18.36% (361)	17.89% (336)	21.63% (298)	16.03% (304)
MangoPie	25.58% (54)	36.36% (30)	15.38% (15)	66.67% (5)	66.67% (5)	22.22% (11)	33.33% (16)	33.33% (12)	12.5% (9)	50.0% (9)	63.64% (18)	17.24% (34)	20.69% (35)	31.25% (42)	18.37% (58)	25.42% (74)	29.23% (84)	27.78% (138)	17.95% (184)	15.11% (160)	14.71% (117)	11.84% (85)	13.95% (98)	19.4% (80)
MarkusKahlsen	34.62% (35)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	25.0% (5)	14.29% (8)	41.18% (24)	20.29% (83)	39.06% (89)	23.15% (133)	25.71% (220)	26.81% (175)	27.03% (141)	32.03% (169)	31.08% (194)	24.8% (156)	28.95% (196)	29.56% (206)	27.92% (197)	17.24% (170)	12.5% (99)
MasN	28.57% (9)	0.0% (11)	29.41% (22)	20.0% (30)	23.08% (32)	40.91% (31)	33.33% (8)	20.0% (6)	0% (1)	200.0% (3)	25.0% (5)	0% (1)	0.0% (2)	0.0% (1)	0.0% (2)	50.0% (12)	500.0% (6)	0.0% (5)	25.0% (5)	0.0% (5)	0.0% (5)	40.0% (7)	14.29% (16)	10.0% (11)
MathNoob	0.0% (3)	0.0% (2)	0.0% (1)	0% (3)	0% (0)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (2)	0.0% (12)	66.67% (10)	75.0% (14)	57.14% (11)	100.0% (8)	33.33% (4)	0% (0)	0.0% (3)	0.0% (2)	0% (0)
melwen	16.4% (504)	20.04% (563)	13.06% (554)	18.52% (448)	22.97% (257)	18.82% (101)	17.39% (27)	12.5% (18)	8.7% (25)	10.2% (54)	14.52% (71)	22.97% (91)	19.69% (152)	28.72% (242)	24.89% (276)	18.34% (271)	19.02% (244)	30.66% (179)	24.82% (171)	22.03% (216)	22.85% (328)	18.84% (328)	26.15% (328)	15.67% (406)
methmatics	0.0% (5)	11.76% (19)	0.0% (8)	0.0% (17)	5.88% (18)	2.56% (40)	13.89% (41)	18.75% (38)	16.0% (29)	21.21% (40)	10.53% (42)	35.71% (38)	15.38% (15)	25.0% (5)	22.22% (11)	0.0% (2)	0.0% (1)	100.0% (2)	33.33% (4)	0.0% (6)	80.0% (9)	100.0% (2)	0.0% (7)	30.0% (13)
