player,teammate,weight
2009ericfa2,Kranosaurus,8
2009ericfa2,MX1,9
2009ericfa2,Sookyurmooda,3
200SMACKS,cvb2009,2
200SMACKS,dejojam1,2
200SMACKS,playerslayer92,2
2010edale,audreykriva2,3
2010edale,julpeppers,3
2012,493875034,2
2014bas,alexdyer,5
2014bas,Boyd,3
2014bas,Dad1,5
2014bas,DADA,7
2014bas,eecallahan,5
2014bas,jacoba,1
2014bas,jessog,1
2014bas,Mum,18
2014bas,poopybutt123,22
2014bas,SnowdenBoyd,20
2014bas,Tracy,6
2014bas,tracyy,3
2014bas,willdz,5
20200327xyz,alexjf,1
20200327xyz,valerie31,1
20200402,prokil,13
20200413,prokil,3
2020crisis,schyler13,1
2020redo,acrobin,2
2020redo,Justin_Yourmind,2
2020redo,like2vs,2
2020redo,Onthejumbotron,2
2020redo,teri,2
2021011612031,vodka,2
20424468,agbuyakasha,1
20424468,Joyful,1
20424468,Ncii,1
2048,Detective_Pika,3
2048,dhruvpillai6,1
2048,OPOP,1
2048,sun_prime,7
2048,vEnhance,1
20comer70correr,AveStrauss,5
20comer70correr,DavidBraquinha,5
20fpslaptop,dodobird123456,2
20fpslaptop,geafhus,2
20fpslaptop,lehonatomy,2
2129,BAT,3
2129,The311,3
2139,Div,2
2139,sefiak,2
2139,shanos,2
219754887219387,478692786912,1
219754887219387,4829398273982,1
219754887219387,938476540523854,1
2222222,3333333,14
2222222,4444444,13
2222222,5555555,3
22zi22,GabiSalti,10
2319097327,fgh,8
2319097327,Findingoak,23
2319097327,hello12345,17
2319097327,Henrynumbers,3
2319097327,kaberstan,17
2319097327,test,2
234234234,jlweller,9
23454567896543,Bashtalicious,10
23454567896543,charhanabi,4
23454567896543,Jan,2
23454567896543,Koen12345,3
23454567896543,mugsly,8
23454567896543,mugsly2,1
23456783,Jan,2
23456783,mugsly,2
239,g.charkovsky,1
2426827648237,flebelebele,5
2426827648237,pablo,2
2426827648237,Razvogor,5
24billies,bulbasaur,4
24billies,cookieman,4
24billies,eevee,5
24billies,flaphor,2
24billies,itisonlyforme,4
24billies,squirtle,5
24billies,π,4
24billy,316721,8
24billy,Ahming,3
24billy,Austinwang,10
24billy,bulbasaur,9
24billy,charmander,13
24billy,cheese87,3
24billy,eevee,23
24billy,frank74828,21
24billy,hank721,3
24billy,magikarp,14
24billy,squirtle,5
24k,billiam,2
24k,tamy,3
24k,tyrotoxicity,9
24k,VoxRocks,2
24sju,Blaurgh,2
24sju,FloodFlood,63
24sju,noah,46
24sju,xgron,34
24wendy,Shenz0r,11
25-to-the-7th,Jessica0293r0e8,2
25-to-the-7th,makophx06,4
25-to-the-7th,Moon-Man,5
25-to-the-7th,placeholder,3
25-to-the-7th,SnapplePeachTea,7
25-to-the-7th,TheZestyEel,2
25-to-the-7th,thrombocyte,1
25fordays,annarosen,1
25fordays,clarageci,1
25fordays,SmellyJoe,1
25fordaysss,bnesiers,1
25fordayz,annarosen,6
25fordayz,bnesiers,14
25fordayz,c_schein_,4
25fordayz,mjo,3
25fordayz,SmellyJoe,4
25fordayz,trippy_mcfly,5
25only,cricketmobile,3
25only,ultrainstinct,3
27182mily,acohen29,4
27182mily,Bearded_Titan,343
27182mily,BoundlessVovix,363
27182mily,Eugenia8000,7
27182mily,evancrites,40
27182mily,heliwr1,8
27182mily,mens_rea,1
27182mily,Spaceman98,14
27182mily,Spaceman9800,1
27182mily,WorkingVovix,2
27182mily,WorkingVovix2,2
2718mily,BeardedTitan,37
2718mily,drick,2
2718mily,NewAccount,2
2718mily,Rose,1
2718mily,Vovix,37
273.15°C,ArcCosine,2
273.15°C,Cyx,2
273.15°C,koipoi,2
273.15°C,MrChompysaur,2
273850808480038,dewakipas,3
273850808480038,memeking,3
27e18,just_a_dick,1
27e18,Lanvin,1
27e18,sin_faith,1
28d,Elemeno,3
28d,Jelfin,2
28d,luminescent13,2
28d,ml1234567,3
28d,mmj_xu,1
28degrees,brunnerj,2
28degrees,verug,2
28zlou,helloguys,1
