Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Durandal	19.21% (211)	15.5% (149)	46.67% (22)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	10.0% (22)	18.18% (39)	13.89% (82)	23.3% (127)	13.51% (126)	21.31% (148)	8.16% (212)	11.05% (191)	16.26% (143)	20.26% (184)	16.2% (251)	19.33% (358)	14.69% (281)	22.26% (324)	14.29% (312)	19.84% (296)
eliclax	21.43% (17)	28.57% (18)	12.5% (36)	10.34% (64)	28.95% (49)	39.13% (32)	16.67% (21)	21.43% (17)	22.73% (27)	21.15% (63)	19.18% (87)	25.71% (88)	34.57% (109)	16.05% (94)	30.88% (89)	19.51% (49)	7.14% (30)	28.57% (9)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (2)	10.0% (11)
emilyzhao	23.08% (96)	22.81% (140)	22.11% (116)	13.91% (131)	25.86% (146)	30.26% (99)	37.21% (59)	30.77% (17)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (4)	11.11% (30)	18.18% (39)	28.85% (67)	16.92% (76)	33.33% (88)	38.33% (83)	26.42% (67)	20.63% (76)	19.64% (67)
FerKeth	16.67% (14)	50.0% (9)	23.53% (21)	6.06% (35)	23.08% (48)	20.0% (36)	11.11% (50)	13.33% (17)	200.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (1)	33.33% (4)	0.0% (3)	0.0% (4)	50.0% (3)	50.0% (6)	25.0% (10)
Fey	0% (0)	0% (0)	100.0% (2)	20.0% (12)	29.47% (123)	23.29% (270)	29.05% (311)	35.65% (293)	34.27% (286)	36.14% (275)	20.16% (155)	46.77% (91)	36.0% (102)	36.17% (128)	25.24% (129)	27.93% (229)	31.61% (458)	40.79% (466)	33.11% (197)	31.43% (138)	27.1% (136)	44.68% (68)	33.33% (12)	0% (0)
Fireheart	12.42% (181)	23.97% (150)	15.87% (241)	17.04% (316)	14.45% (404)	14.43% (349)	19.13% (330)	19.93% (367)	15.94% (480)	15.94% (560)	14.2% (579)	20.1% (466)	18.45% (488)	19.7% (486)	16.24% (408)	16.85% (416)	15.55% (327)	15.72% (346)	18.44% (501)	23.85% (483)	29.23% (451)	29.02% (369)	25.11% (289)	13.33% (153)
fishcat	32.56% (114)	26.58% (100)	30.38% (103)	21.43% (68)	45.16% (45)	25.0% (15)	133.33% (7)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	166.67% (8)	25.0% (5)	17.95% (46)	22.45% (60)	17.14% (41)	54.17% (37)	36.36% (45)	30.36% (73)	18.57% (83)	13.4% (110)
Floriman	42.86% (40)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	21.05% (23)	19.74% (91)	24.11% (139)	13.93% (139)	30.21% (125)	17.7% (133)	30.56% (141)	24.55% (137)	25.35% (178)	23.95% (295)	27.51% (292)	32.56% (228)	23.58% (414)	22.46% (578)	16.12% (677)	21.0% (605)	25.34% (277)
florrat2	7.17% (1076)	5.42% (1635)	5.29% (2210)	4.57% (3773)	4.48% (3404)	3.56% (2034)	2.64% (739)	5.21% (101)	0% (0)	0% (0)	28.57% (9)	0.0% (4)	17.65% (20)	8.11% (40)	5.26% (100)	4.35% (96)	9.69% (419)	8.98% (740)	6.11% (851)	8.29% (1124)	7.49% (990)	7.38% (946)	5.81% (1384)	7.31% (1366)
hakha3	40.43% (66)	14.29% (48)	55.56% (14)	50.0% (3)	100.0% (2)	0% (0)	0% (0)	0% (0)	0.0% (2)	12.5% (9)	50.0% (36)	26.19% (53)	28.3% (68)	25.45% (69)	30.19% (69)	19.61% (61)	26.92% (66)	18.95% (113)	25.97% (97)	45.76% (86)	35.96% (121)	30.59% (111)	22.39% (82)	23.53% (63)
HariKrishnan	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	25.0% (15)	32.43% (49)	27.27% (56)	31.48% (71)	36.67% (41)	20.0% (18)	250.0% (7)
HelanaAshryvr	16.85% (416)	20.0% (390)	16.54% (310)	24.34% (281)	22.17% (248)	22.3% (181)	18.52% (128)	22.73% (81)	21.43% (51)	23.08% (16)	42.86% (10)	22.22% (11)	28.57% (9)	21.21% (80)	10.69% (176)	23.08% (240)	16.22% (258)	22.1% (221)	20.21% (232)	14.92% (339)	13.93% (319)	22.26% (368)	18.24% (350)	18.62% (414)
IAMJEFF	10.81% (41)	25.68% (93)	12.45% (280)	19.22% (366)	19.81% (387)	13.75% (422)	21.97% (272)	23.12% (245)	9.45% (417)	12.3% (484)	14.39% (469)	19.33% (426)	18.41% (463)	18.64% (560)	15.1% (724)	15.97% (668)	16.6% (555)	29.8% (257)	23.29% (180)	20.0% (132)	14.44% (103)	13.73% (58)	17.65% (20)	13.33% (17)
indego	13.94% (237)	17.81% (258)	9.22% (308)	11.9% (348)	13.15% (327)	16.6% (309)	11.32% (295)	15.02% (337)	14.19% (354)	13.6% (309)	13.49% (345)	9.52% (368)	9.75% (304)	21.3% (279)	19.18% (292)	10.99% (313)	14.38% (358)	16.67% (413)	14.74% (358)	11.11% (310)	19.2% (298)	12.61% (268)	10.93% (274)	23.0% (246)
Instantiation	16.67% (70)	9.46% (81)	20.69% (70)	48.89% (67)	23.94% (88)	16.22% (86)	46.97% (97)	26.09% (58)	19.05% (25)	11.11% (10)	20.0% (6)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	66.67% (5)	21.43% (17)	25.81% (39)	18.42% (45)	37.5% (44)	40.91% (62)	15.56% (52)
invarse	18.75% (209)	33.64% (143)	18.67% (89)	27.27% (84)	23.53% (21)	33.33% (4)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	60.0% (8)	7.69% (28)	23.33% (37)	27.66% (60)	31.03% (38)	40.0% (21)	15.0% (23)	15.22% (53)	14.13% (105)	22.78% (97)	21.57% (186)	15.93% (262)
IsabeltheCat	18.18% (117)	8.62% (126)	15.54% (171)	8.82% (148)	25.0% (180)	21.83% (173)	17.95% (138)	13.04% (104)	33.33% (104)	64.71% (28)	0.0% (5)	0% (1)	0% (0)	0.0% (1)	0.0% (1)	60.0% (8)	30.77% (17)	14.29% (64)	20.97% (75)	29.82% (74)	14.29% (64)	22.03% (72)	14.94% (100)	14.95% (123)
jack67889	44.0% (36)	60.0% (8)	50.0% (3)	0.0% (1)	0.0% (1)	0.0% (2)	14.29% (8)	37.5% (11)	68.75% (27)	34.78% (62)	33.9% (79)	20.22% (107)	30.59% (111)	27.12% (150)	25.0% (150)	22.68% (119)	20.75% (128)	24.71% (106)	23.61% (89)	18.57% (83)	25.81% (156)	24.28% (215)	24.68% (192)	20.79% (122)
Jake_Stiles	16.08% (491)	16.61% (709)	17.7% (818)	22.27% (560)	16.09% (202)	15.58% (89)	3.45% (30)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (2)	18.75% (19)	27.91% (55)	28.17% (91)	24.18% (113)	14.81% (124)	24.21% (118)	21.65% (118)	23.61% (89)	22.62% (103)	22.22% (121)	13.73% (116)	12.73% (186)
jeff10	12.33% (82)	13.59% (117)	10.45% (148)	15.56% (104)	12.0% (56)	15.62% (37)	11.11% (10)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (1)	14.29% (24)	19.44% (43)	20.83% (87)	20.18% (137)	16.82% (125)	14.61% (102)	16.67% (91)	18.1% (124)	15.79% (110)	16.48% (106)	14.15% (121)
katian	0% (0)	0% (0)	0.0% (3)	0.0% (8)	0.0% (19)	18.75% (19)	26.92% (33)	27.78% (46)	44.64% (81)	25.0% (85)	17.74% (73)	19.44% (43)	12.16% (83)	11.3% (128)	20.97% (150)	13.43% (152)	18.27% (123)	2.5% (41)	0.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)
Kernel	0.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0% (0)	0.0% (1)	71.43% (12)	25.0% (15)	8.7% (25)	3.45% (30)	31.58% (25)	36.67% (41)	31.58% (25)	17.39% (27)	38.89% (25)	35.14% (50)	13.16% (43)	13.79% (33)	21.95% (50)	15.79% (44)	21.74% (28)	25.0% (5)
kimbifille	13.92% (483)	15.08% (496)	16.46% (559)	20.0% (600)	22.33% (526)	20.83% (406)	24.52% (193)	43.4% (76)	46.67% (22)	21.43% (17)	8.33% (26)	13.64% (75)	11.54% (174)	25.0% (155)	16.67% (196)	27.13% (239)	19.58% (287)	18.6% (338)	23.66% (277)	12.73% (301)	17.85% (383)	20.16% (465)	19.7% (474)	17.41% (445)
